Puntuacion;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;PP5;PP6;PP7;PP8
8;3;3;3;1;2;1;1;3;1;1;68;1;3;3
8;2;3;2;1;2;1;1;2;1;1;82;1;2;1
8;2;3;2;1;1;1;1;1;1;1;41;1;3;2
9;3;3;2;1;2;1;1;1;1;3;65;1;1;1
9;3;3;2;1;2;1;1;2;1;1;59;1;2;2
8;2;3;2;1;2;1;1;1;2;1;66;2;2;2
9;3;3;3;1;2;1;1;1;1;1;88;1;3;5
9;2;3;2;1;2;1;1;1;1;1;67;2;2;2
8;2;3;2;1;2;1;3;1;1;1;52;2;2;2
9;3;3;3;1;2;1;1;1;1;1;68;1;2;5
8;3;3;1;1;2;1;1;3;1;1;48;2;2;3
9;3;3;2;3;2;1;1;1;1;1;42;1;1;5
8;3;3;2;3;3;1;1;1;1;1;72;2;2;2
10;3;3;2;1;2;1;1;1;1;1;68;1;2;2
10;3;3;2;1;2;1;1;1;1;1;52;1;2;4
6;2;3;2;3;3;1;1;3;1;1;79;1;2;5
10;3;3;2;1;2;1;1;1;1;1;52;1;2;3
